iata,icao,name,location,time,country
REB,EDAX,Rechlin–Lärz Airfield[1],"Rechlin, Mecklenburg-Vorpommern, Germany",Unknown,Germany
REC,SBRF,Recife/Guararapes–Gilberto Freyre International Airport,"Recife, Pernambuco, Brazil",Unknown,Brazil
RED,KRVL,Mifflin County Airport (FAA: RVL),"Reedsville / Lewistown, Pennsylvania, United States",Unknown,United States
REE,Not Available,Reese Airpark[1] (FAA: 8XS8),"Lubbock, Texas, United States",Unknown,United States
REG,LICR,Reggio di Calabria Airport,"Reggio di Calabria, Calabria, Italy",Unknown,Italy
REI,SOOR,Régina Airport[1],"Régina, French Guiana",Unknown,French Guiana
REK[1],Not Available,metropolitan area1,"Reykjavík, Iceland",Unknown,Iceland
REL,SAVT,Almirante Marcos A. Zar Airport,"Trelew, Chubut, Argentina",Unknown,Argentina
REN,UWOO,Orenburg Tsentralny Airport,"Orenburg, Orenburg Oblast, Russia",Unknown,Russia
REO,KREO,Rome State Airport,"Rome, Oregon, United States",Unknown,United States
REP,VDSR,Siem Reap International Airport (Angkor Int'l),"Siem Reap, Cambodia",Unknown,Cambodia
REQ,Not Available,Reko Diq Airport[1],"Reko Diq, Pakistan",Unknown,Pakistan
RER,MGRT,Retalhuleu Airport,"Retalhuleu, Guatemala",Unknown,Guatemala
RES,SARE,Resistencia International Airport,"Resistencia, Chaco, Argentina",Unknown,Argentina
RET,ENRS,Røst Airport,"Røst, Norway",Unknown,Norway
REU,LERS,Reus Airport,"Reus, Catalonia, Spain",Unknown,Spain
REW,Not Available,Churhata Airport[1],"Rewa, Madhya Pradesh, India",Unknown,India
REX,MMRX,General Lucio Blanco International Airport,"Reynosa, Tamaulipas, Mexico",Unknown,Mexico
REY,SLRY,Reyes Airport[1],"Reyes, Bolivia",Unknown,Bolivia
REZ,SDRS,Resende Airport[1],"Resende, Rio de Janeiro, Brazil",Unknown,Brazil
RFA,FEGR,Rafaï Airport[1],"Rafaï, Central African Republic",Unknown,Central African Republic
RFD,KRFD,Chicago Rockford International Airport (Greater Rockford Airport),"Rockford, Illinois, United States",Unknown,United States
RFG,KRFG,Rooke Field,"Refugio, Texas, United States",Unknown,United States
RFK,Not Available,Rollang Field[1] (FAA: 5MS1),"Rolling Fork, Mississippi, United States",Unknown,United States
RFN,BIRG,Raufarhöfn Airport[1],"Raufarhöfn, Iceland",Unknown,Iceland
RFP,NTTR,Raiatea Airport[1] (Uturoa Airport),"Raiatea, Society Islands, French Polynesia",Unknown,French Polynesia
RFR,MRRF,Río Frío Airport[1],"Río Frío, Costa Rica",Unknown,Costa Rica
RFS,MNRT,Rosita Airport[1],"Rosita, Nicaragua",Unknown,Nicaragua
RGA,SAWE,Hermes Quijada International Airport,"Río Grande, Tierra del Fuego, Argentina",Unknown,Argentina
